"variable","percent_agreement","cohens_kappa","n_pairs"
"cr-1",93.75,0.771,16
"cr-1-1",87.5,0.765,16
"cr-1-2",56.25,0.543,16
"cr-3",93.75,0,16
"cr-4",50,0.251,16
"cr-f-1",100,1,16
"cr-f-2",93.75,0.771,16
"cr-f-1-1",56.25,0.529,16
"cr-a-1",100,1,15
"cr-a-2",81.25,0.495,16
"cr-i-1",92.31,0.764,13
"cr-i-2",76.92,0.649,13
"cr-i-3",87.5,0.785,16
"cr-i-4",93.75,0.771,16
"cr-r-1",100,1,16
"cr-r-2",87.5,0.614,16
"cr-r-3",50,0.203,14
"cr-r-1-1",78.57,0.558,14
"dr-1",87.5,0.619,16
"dr-1-1",43.75,0.417,16
"dr-1-2",87.5,0,16
"dr-2",43.75,0.014,16
"dr-2-1",43.75,-0.143,16
"dr-f-1",87.5,0.692,16
"dr-f-2",93.75,0.771,16
"dr-f-3",66.67,0.571,6
"dr-f-1-1",56.25,0.521,16
"dr-a-1",86.67,0.694,15
"dr-a-2",80,0.722,5
"dr-i-1",75,0.6,4
"dr-i-2",75,0.6,4
"dr-r-1",50,0.293,16
"dr-r-2",46.67,0.31,15
"dr-r-3",53.33,0.375,15
"dr-r-1-1",50,0.185,16
