"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",38,0,0,1,"Yes",100
"cr.1",38,0,0,3,"Yes",84.2
"cr.1.1",34,4,10.5,4,"Figshare",82.4
"cr.4",36,2,5.3,3,"Yes",50
"cr.a.1",36,2,5.3,2,"Yes",97.2
"cr.a.2",36,2,5.3,1,"Yes",100
"cr.f.1",36,2,5.3,3,"Yes",86.1
"cr.f.2",36,2,5.3,3,"Yes",52.8
"cr.i.1",36,2,5.3,3,"Yes",55.6
"cr.i.2",35,3,7.9,3,"No",45.7
"cr.i.3",36,2,5.3,3,"No",47.2
"cr.i.4",34,4,10.5,2,"No",79.4
"cr.r.1",36,2,5.3,3,"Yes",86.1
"cr.r.1.1",38,0,0,5,"CC BY 4.0",68.4
"cr.r.2",36,2,5.3,3,"Yes",83.3
"cr.r.3",36,2,5.3,3,"Unclear",52.8
"d_filter",38,0,0,1,"Yes",100
"d_synth",38,0,0,2,"Yes",97.4
"dr.1",38,0,0,3,"Yes",81.6
"dr.1.2",7,31,81.6,4,"Other, please specify",42.9
"dr.2",38,0,0,2,"No",50
"dr.a.1",18,20,52.6,1,"Yes",100
"dr.a.2",35,3,7.9,3,"Unclear",48.6
"dr.f.1",35,3,7.9,3,"Yes",85.7
"dr.f.2",35,3,7.9,3,"Yes",60
"dr.f.3",18,20,52.6,3,"Yes",38.9
"dr.i.1",18,20,52.6,2,"Yes",94.4
"dr.i.2",18,20,52.6,3,"No",44.4
"dr.r.1",35,3,7.9,3,"No",51.4
"dr.r.2",35,3,7.9,3,"Yes",82.9
"dr.r.3",35,3,7.9,3,"No",71.4
"id",38,0,0,38,"1",2.6
"pre.post",38,0,0,1,"post-policy",100
"reproducibility_rating",38,0,0,4,"1",36.8
"year_after_policy",38,0,0,1,"5",100
